wvl;fwhm
1364.013378;6.6523435
1369.130435;6.6520261
1374.247492;6.6523435
1379.364548;6.6520261
1384.481605;6.6521848
1389.598662;6.6523435
1394.715719;6.6520261
1399.832776;6.6521848
1404.949833;6.6521848
1410.06689;6.6521848
1415.183946;6.6521848
1420.301003;6.6521848
1425.41806;6.6521848
1430.535117;6.6521848
1435.652174;6.6521848
1440.769231;6.6520261
1445.886288;6.6523435
1451.003344;6.6520261
1456.120401;6.6521848
1461.237458;6.6523435
1466.354515;6.6520261
1471.471572;6.6521848
1476.588629;6.6521848
1481.705686;6.6521848
1486.822742;6.6521848
1491.939799;6.6521848
1497.056856;6.6521848
1502.173913;6.6521848
1507.29097;6.6521848
1512.408027;6.6520261
1517.525084;6.6523435
1522.64214;6.6520261
1527.759197;6.6521848
1532.876254;6.6523435
1537.993311;6.6520261
1543.110368;6.6521848
1548.227425;6.6521848
1553.344482;6.6521848
1558.461538;6.6521848
1563.578595;6.6521848
1568.695652;6.6521848
1573.812709;6.6521848
1578.929766;6.6521848
1584.046823;6.6520261
1589.16388;6.6523435
1594.280936;6.6520261
1599.397993;6.6521848
1604.51505;6.6521848
1609.632107;6.6521848
1614.749164;6.6521848
1619.866221;6.6521848
1624.983278;6.6521848
1630.100334;6.6521848
1635.217391;6.6521848
1640.334448;6.6520261
1645.451505;6.6523435
1650.568562;6.6521848
1655.685619;6.6520261
1660.802676;6.6523435
1665.919732;6.6520261
1671.036789;6.6521848
1676.153846;6.6521848
1681.270903;6.6521848
1686.38796;6.6521848
1691.505017;6.6521848
1696.622074;6.6521848
1701.73913;6.6521848
1706.856187;6.6521848
1711.973244;6.6520261
1717.090301;6.6523435
1722.207358;6.6521848
1727.324415;6.6520261
1732.441472;6.6523435
1737.558528;6.6520261
1742.675585;6.6523435
1747.792642;6.6520261
1752.909699;6.6521848
1758.026756;6.6523435
1763.143813;6.6520261
1768.26087;6.6521848
1773.377926;6.6521848
1778.494983;6.6521848
1783.61204;6.6521848
1788.729097;6.6521848
1793.846154;6.6521848
1798.963211;6.6521848
1804.080268;6.6521848
1809.197324;6.6520261
1814.314381;6.6523435
1819.431438;6.6520261
1824.548495;6.6521848
1829.665552;6.6523435
1834.782609;6.6520261
1839.899666;6.6521848
1845.016722;6.6521848
1850.133779;6.6521848
1855.250836;6.6521848
1860.367893;6.6521848
1865.48495;6.6521848
1870.602007;6.6521848
1875.719064;6.6521848
1880.83612;6.6520261
1885.953177;6.6523435
1891.070234;6.6520261
1896.187291;6.6521848
1901.304348;6.6521848
1906.421405;6.6521848
1911.538462;6.6521848
1916.655518;6.6521848
1921.772575;6.6521848
1926.889632;6.6521848
1932.006689;6.6521848
1937.123746;6.6520261
1942.240803;6.6523435
1947.35786;6.6521848
1952.474916;6.6520261
1957.591973;6.6523435
1962.70903;6.6520261
1967.826087;6.6521848
1972.943144;6.6521848
1978.060201;6.6521848
1983.177258;6.6521848
1988.294314;6.6521848
1993.411371;6.6521848
1998.528428;6.6521848
2003.645485;6.6521848
2008.762542;6.6520261
2013.879599;6.6523435
2018.996656;6.6521848
2024.113712;6.6520261
2029.230769;6.6523435
2034.347826;6.6520261
2039.464883;6.6521848
2044.58194;6.6521848
2049.698997;6.6521848
2054.816054;6.6523435
2059.93311;6.6520261
2065.050167;6.6523435
2070.167224;6.6520261
2075.284281;6.6520261
2080.401338;6.6523435
2085.518395;6.6520261
2090.635452;6.6523435
2095.752508;6.6520261
2100.869565;6.6523435
2105.986622;6.6520261
2111.103679;6.6523435
2116.220736;6.6520261
2121.337793;6.6523435
2126.454849;6.6520261
2131.571906;6.6523435
2136.688963;6.6520261
2141.80602;6.6520261
2146.923077;6.6523435
2152.040134;6.6520261
2157.157191;6.6523435
2162.274247;6.6520261
2167.391304;6.6523435
2172.508361;6.6520261
2177.625418;6.6523435
2182.742475;6.6520261
2187.859532;6.6523435
2192.976589;6.6520261
2198.093645;6.6520261
2203.210702;6.6523435
2208.327759;6.6523435
2213.444816;6.6520261
2218.561873;6.6523435
2223.67893;6.6520261
2228.795987;6.6520261
2233.913043;6.6523435
2239.0301;6.6520261
2244.147157;6.6523435
2249.264214;6.6520261
2254.381271;6.6523435
2259.498328;6.6520261
2264.615385;6.6523435
2269.732441;6.6520261
2274.849498;6.6523435
2279.966555;6.6520261
2285.083612;6.6520261
2290.200669;6.6523435
2295.317726;6.6520261
2300.434783;6.6523435
2305.551839;6.6520261
2310.668896;6.6523435
2315.785953;6.6520261
2320.90301;6.6523435
2326.020067;6.6520261
2331.137124;6.6523435
2336.254181;6.6520261
2341.371237;6.6520261
2346.488294;6.6523435
2351.605351;6.6523435
2356.722408;6.6520261
2361.839465;6.6523435
2366.956522;6.6520261
2372.073579;6.6520261
2377.190635;6.6523435
2382.307692;6.6520261
2387.424749;6.6523435
2392.541806;6.6520261
2397.658863;6.6523435
2402.77592;6.6520261
2407.892977;6.6523435
2413.010033;6.6520261
2418.12709;6.6523435
2423.244147;6.6520261
2428.361204;6.6520261
2433.478261;6.6523435
2438.595318;6.6520261
2443.712375;6.6523435
2448.829431;6.6520261
2453.946488;6.6523435
2459.063545;6.6520261
2464.180602;6.6523435
2469.297659;6.6520261
2474.414716;6.6523435
2479.531773;6.6520261
2484.648829;6.6520261
2489.765886;6.6523435
2494.882943;6.6520261
2500;6.6523435
