wvl;fwhm
410.726817;3.7794737
413.634085;3.7794737
416.541353;3.7794341
419.448622;3.7794341
422.35589;3.7794737
425.263158;3.7794341
428.170426;3.7794737
431.077694;3.7794341
433.984962;3.7794341
436.892231;3.7794737
439.799499;3.7794341
442.706767;3.7794341
445.614035;3.7794737
448.521303;3.7794341
451.428571;3.7794341
454.33584;3.7794737
457.243108;3.7794341
460.150376;3.7794737
463.057644;3.7794341
465.964912;3.7794341
468.87218;3.7794737
471.779449;3.7794341
474.686717;3.7794341
477.593985;3.7794737
480.501253;3.7794341
483.408521;3.7794341
486.315789;3.7794737
489.223058;3.7794341
492.130326;3.7794737
495.037594;3.7794341
497.944862;3.7794341
500.85213;3.7794737
503.759398;3.7794341
506.666667;3.7794341
509.573935;3.7794737
512.481203;3.7794341
515.388471;3.7794737
518.295739;3.7793944
521.203008;3.7794737
524.110276;3.7794737
527.017544;3.7793944
529.924812;3.7794737
532.83208;3.7794737
535.739348;3.7794737
538.646617;3.7793944
541.553885;3.7794737
544.461153;3.7793944
547.368421;3.7794737
550.275689;3.7794737
553.182957;3.7794737
556.090226;3.7793944
558.997494;3.7794737
561.904762;3.7794737
564.81203;3.7793944
567.719298;3.7794737
570.626566;3.7794737
573.533835;3.7793944
576.441103;3.7794737
579.348371;3.7794737
582.255639;3.7793944
585.162907;3.7794737
588.070175;3.7794737
590.977444;3.7793944
593.884712;3.7794737
596.79198;3.7794737
599.699248;3.7794737
602.606516;3.7793944
605.513784;3.7794737
608.421053;3.7793944
611.328321;3.7794737
614.235589;3.7794737
617.142857;3.7794737
620.050125;3.7793944
622.957393;3.7794737
625.864662;3.7794737
628.77193;3.7793944
631.679198;3.7794737
634.586466;3.7794737
637.493734;3.7793944
640.401003;3.7794737
643.308271;3.7794737
646.215539;3.7793944
649.122807;3.7794737
652.030075;3.7794737
654.937343;3.7793944
657.844612;3.7794737
660.75188;3.7794737
663.659148;3.7794737
666.566416;3.7793944
669.473684;3.7794737
672.380952;3.7793944
675.288221;3.7794737
678.195489;3.7794737
681.102757;3.7794737
684.010025;3.7793944
686.917293;3.7794737
689.824561;3.7794737
692.73183;3.7793944
695.639098;3.7794737
698.546366;3.7794737
701.453634;3.7793944
704.360902;3.7794737
707.26817;3.7794737
710.175439;3.7793944
713.082707;3.7794737
715.989975;3.7794737
718.897243;3.7793944
